"Story","Title","Result","Date","Stability","Duration (s)"
"Text generator","Verify system displays the same text variant value as selected","SUCCESS","2020-11-29T15:32:59.797+03:00[Europe/Moscow]","0.0","5.12"
"Text generator","Verify uppercase checkbox recklick right","SUCCESS","2020-11-29T15:33:04.936+03:00[Europe/Moscow]","0.0","6.53"
"Text generator","Verify strict regime checkbox was clicked","SUCCESS","2020-11-29T15:33:11.474+03:00[Europe/Moscow]","0.0","4.76"
"Text generator","Verify generated text has expected number of symbols","SUCCESS","2020-11-29T15:33:16.239+03:00[Europe/Moscow]","0.0","7.54"
"Text generator","Verify text, written by user in Donate iframe, displays correctly","SUCCESS","2020-11-29T15:33:23.796+03:00[Europe/Moscow]","0.0","3.68"
"Text generator","Verify radio button of payment system was chosen correctly in Donate iframe","SUCCESS","2020-11-29T15:33:27.48+03:00[Europe/Moscow]","0.0","3.69"
"Text generator","Verify menu Services shows after user hover on menu item Uslugi","SUCCESS","2020-11-29T15:33:31.177+03:00[Europe/Moscow]","0.0","3.55"
"Onliner Footer check","Homepage sections footer check","SUCCESS","2020-11-29T15:33:10.139+03:00[Europe/Moscow]","0.0","7.38"
"Onliner Header check","Homepage sections header check fullsize","SUCCESS","2020-11-29T15:32:59.832+03:00[Europe/Moscow]","0.0","12.07"
"Onliner Header check","Homepage sections header check tinysize","SUCCESS","2020-11-29T15:33:11.917+03:00[Europe/Moscow]","0.0","7.71"
"Onliner Header check","Homepage sections header menu click fullsize","SUCCESS","2020-11-29T15:33:33.637+03:00[Europe/Moscow]","0.0","8.4"
"Onliner Header check","Homepage sections header click tinysize","SUCCESS","2020-11-29T15:33:49.825+03:00[Europe/Moscow]","0.0","5.78"
"Onliner Header check","Homepage sections header menu ddl check fullsize","SUCCESS","2020-11-29T15:33:59.838+03:00[Europe/Moscow]","0.0","4.68"
"Onliner Header check","Homepage sections header logoclick fullsize","SUCCESS","2020-11-29T15:34:04.522+03:00[Europe/Moscow]","0.0","6.45"
"Onliner Header check","Homepage sections header logoclick tinysize","SUCCESS","2020-11-29T15:34:10.973+03:00[Europe/Moscow]","0.0","5.44"
"Onliner Homepage check","Homepage is avaliable check","SUCCESS","2020-11-29T15:32:59.748+03:00[Europe/Moscow]","0.0","11.0"
"Onliner Homepage check","Homepage newssection opens","SUCCESS","2020-11-29T15:33:46.678+03:00[Europe/Moscow]","0.0","5.38"
"Onliner Search check","Goods search","SUCCESS","2020-11-29T15:33:23.028+03:00[Europe/Moscow]","0.0","9.55"
"Onliner Search check","Go to good's page from search","SUCCESS","2020-11-29T15:33:32.589+03:00[Europe/Moscow]","0.0","10.11"
